1	1	82
1	2	29
10	1	68
10	2	25
11	1	62
11	2	26
12	1	73
12	2	27
13	1	62
13	2	26
14	1	64
14	2	25
15	1	76
15	2	29
16	1	75
16	2	32
17	1	72
17	2	28
18	1	57
18	2	28
19	1	72
19	2	26
2	1	70
2	2	31
20	1	74
20	2	36
21	1	60
21	2	36
22	1	59
22	2	17
23	1	74
23	2	30
24	1	60
24	2	24
25	1	66
25	2	30
26	1	81
26	2	21
27	1	71
27	2	30
28	1	63
28	2	28
29	1	69
29	2	26
3	1	77
3	2	27
30	1	70
30	2	40
31	1	59
31	2	28
32	1	63
32	2	29
33	1	64
33	2	35
34	1	55
34	2	31
35	1	72
35	2	18
36	1	76
36	2	31
37	1	59
37	2	30
38	1	76
38	2	22
39	1	73
39	2	29
4	1	67
4	2	30
40	1	56
40	2	28
41	1	58
41	2	22
42	1	71
42	2	30
43	1	65
43	2	32
44	1	74
44	2	29
45	1	69
45	2	30
46	1	56
46	2	36
47	1	67
47	2	25
48	1	70
48	2	24
49	1	71
49	2	25
5	1	67
5	2	32
50	1	71
50	2	33
6	1	59
6	2	21
7	1	74
7	2	31
8	1	68
8	2	24
9	1	64
9	2	30
